LED, Light, ReverseMapping
0, 25, 0
1, 133, 1
2, 171, 2
3, 206, 3
4, 237, 4
5, 265, 5
6, 287, 6
7, 308, 7
8, 326, 8
9, 341, 9
10, 358, 10
11, 372, 11
12, 385, 12
13, 397, 13
14, 409, 14
15, 420, 15
16, 430, 16
17, 440, 17
18, 449, 18
19, 458, 19
20, 466, 20
21, 474, 21
22, 483, 22
23, 490, 23
24, 497, 24
25, 504, 26
26, 510, 27
27, 516, 28
28, 522, 29
29, 528, 30
30, 533, 31
31, 539, 32
32, 544, 33
33, 549, 34
34, 554, 35
35, 559, 37
36, 564, 38
37, 568, 39
38, 572, 40
39, 576, 41
40, 580, 42
41, 584, 43
42, 588, 44
43, 591, 44
44, 595, 45
45, 598, 46
46, 601, 46
47, 605, 48
48, 608, 49
49, 611, 50
50, 613, 50
51, 616, 51
52, 619, 52
53, 622, 54
54, 624, 55
55, 627, 57
56, 629, 57
57, 632, 58
58, 634, 60
59, 636, 61
60, 639, 63
61, 641, 63
62, 643, 64
63, 645, 66
64, 647, 66
65, 649, 67
66, 651, 69
67, 653, 69
68, 655, 71
69, 657, 73
70, 659, 73
71, 660, 74
72, 662, 74
73, 664, 76
74, 666, 78
75, 667, 78
76, 669, 78
77, 671, 79
78, 673, 80
79, 674, 80
80, 675, 80
81, 677, 81
82, 679, 82
83, 680, 82
84, 681, 82
85, 683, 84
86, 684, 84
87, 686, 86
88, 687, 86
89, 688, 87
90, 690, 87
91, 691, 90
92, 693, 90
93, 694, 92
94, 695, 92
95, 696, 92
96, 698, 96
97, 699, 96
98, 700, 98
99, 701, 98
100, 702, 98
101, 703, 102
102, 704, 102
103, 705, 102
104, 706, 106
105, 707, 106
106, 710, 107
107, 712, 107
108, 714, 109
109, 716, 110
110, 718, 110
111, 719, 112
112, 720, 112
113, 722, 117
114, 722, 117
115, 723, 117
116, 723, 117
117, 724, 117
118, 724, 117
119, 724, 117
120, 725, 123
121, 725, 123
122, 726, 123
123, 727, 123
124, 728, 126
125, 730, 126
126, 731, 127
127, 733, 127
128, 735, 129
129, 736, 129
130, 738, 131
131, 739, 131
132, 740, 135
133, 741, 135
134, 741, 135
135, 741, 135
136, 742, 135
137, 742, 135
138, 742, 135
139, 742, 135
140, 743, 143
141, 743, 143
142, 744, 143
143, 745, 143
144, 746, 145
145, 748, 145
146, 749, 148
147, 751, 148
148, 752, 148
149, 753, 152
150, 754, 152
151, 755, 152
152, 756, 160
153, 756, 160
154, 757, 160
155, 757, 160
156, 757, 160
157, 757, 160
158, 757, 160
159, 757, 160
160, 758, 160
161, 758, 160
162, 759, 164
163, 760, 164
164, 762, 166
165, 763, 166
166, 764, 166
167, 765, 170
168, 766, 170
169, 767, 170
170, 767, 170
171, 768, 174
172, 769, 174
173, 770, 174
174, 770, 174
175, 770, 174
176, 770, 174
177, 770, 174
178, 770, 174
179, 770, 174
180, 771, 183
181, 771, 183
182, 772, 183
183, 774, 186
184, 774, 186
185, 775, 186
186, 776, 186
187, 777, 190
188, 777, 190
189, 778, 190
190, 779, 190
191, 779, 190
192, 780, 200
193, 781, 200
194, 781, 200
195, 781, 200
196, 781, 200
197, 781, 200
198, 781, 200
199, 781, 200
200, 782, 200
201, 783, 204
202, 784, 204
203, 785, 204
204, 785, 204
205, 786, 209
206, 786, 209
207, 787, 209
208, 788, 209
209, 788, 209
210, 789, 215
211, 789, 215
212, 790, 215
213, 790, 215
214, 791, 215
215, 791, 215
216, 791, 215
217, 791, 215
218, 791, 215
219, 791, 215
220, 792, 255
221, 793, 255
222, 793, 255
223, 794, 255
224, 794, 255
225, 795, 255
226, 795, 255
227, 796, 255
228, 796, 255
229, 797, 255
230, 797, 255
231, 798, 255
232, 798, 255
233, 798, 255
234, 799, 255
235, 799, 255
236, 799, 255
237, 799, 255
238, 800, 255
239, 800, 255
240, 801, 255
241, 801, 255
242, 802, 255
243, 802, 255
244, 803, 255
245, 803, 255
246, 803, 255
247, 803, 255
248, 804, 255
249, 804, 255
250, 805, 255
251, 805, 255
252, 805, 255
253, 806, 255
254, 806, 255
255, 806, 255